Handle                     ,Title                      ,Body (HTML)                                                                                                                                                                                                                       ,Vendor       ,Product Category                                                                ,Type,Tags                       ,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src                                                                                                                    ,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Flavor (product.metafields.shopify.flavor) ,Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
s-mores-campfire-crunch    ,S’mores Campfire Crunch    ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Chocolate cake with a graham cracker base, toasted marshmallow frosting, and a gooey marshmallow center.</span></p>"                                                     ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"filled, kid-favorite"     ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/SmoresCampfireCrunch.png?v=1757449511                                 ,1             ,              ,false    ,         ,               ,eggs; wheat; milk; soybeans                                           ,                                                                    ,chocolate                                  ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
toasted-coconut-cream      ,Toasted Coconut Cream      ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Tender coconut cake topped with coconut cream frosting and toasted coconut flakes for a tropical crunch.</span></p>"                                                     ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,gluten-free                ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/ToastedCoconutCream.png?v=1757449471                                  ,1             ,              ,false    ,         ,               ,eggs; wheat; milk; nuts                                               ,                                                                    ,coconut                                    ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
matcha-honey-harmony       ,Matcha Honey Harmony       ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Earthy matcha cake sweetened with wildflower honey and finished with matcha-honey frosting and edible gold dust.</span></p>"                                             ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,limited                    ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/MatchaHoneyHarmony.png?v=1757449435                                   ,1             ,              ,false    ,         ,               ,milk; eggs; wheat                                                     ,                                                                    ,                                           ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
mocha-latte-buzz           ,Mocha Latte Buzz           ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Espresso-infused chocolate cake topped with mocha buttercream and a chocolate-covered espresso bean for a jolt of joy.</span></p>"                                       ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,limited                    ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/MochaLatteBuzz.png?v=1757449397                                       ,1             ,              ,false    ,         ,               ,milk; eggs; wheat                                                     ,                                                                    ,coffee; chocolate                          ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
churro-cinnamon-swirl      ,Churro Cinnamon Swirl      ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Cinnamon-spiced cake with a sugar crust, cream cheese frosting, and a crunchy churro twist on top.</span></p>"                                                           ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,limited                    ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,0.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/ChurroCinnamonSwirl.png?v=1757449365                                  ,1             ,              ,false    ,         ,               ,wheat; eggs; milk                                                     ,                                                                    ,cinnamon                                   ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
strawberries-cream-dream   ,Strawberries & Cream Dream ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Strawberry-speckled cake topped with fluffy whipped cream frosting and a sugared strawberry slice.</span></p>"                                                           ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,gluten-free                ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/StrawberriesandCreamDream.png?v=1757449330                            ,1             ,              ,false    ,         ,               ,wheat; eggs; milk                                                     ,                                                                    ,vanilla; strawberry                        ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
cookies-cream-crumble      ,Cookies & Cream Crumble    ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Chocolate cake loaded with crushed cookies, topped with cookies &amp; cream buttercream and finished with an Oreo half.</span></p>"                                      ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,kid-favorite               ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/CookiesandCreamCrumble2.png?v=1757449296                              ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,chocolate; vanilla                         ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
birthday-cake-confetti     ,Birthday Cake Confetti     ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Vanilla sprinkle cake bursting with fun, topped with vanilla buttercream and rainbow confetti—perfect for celebrations!</span></p>"                                      ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"kid-favorite, nut-free"   ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/BirthdayCakeConfetti.png?v=1757449250                                 ,1             ,              ,false    ,         ,               ,eggs; wheat; milk                                                     ,                                                                    ,vanilla                                    ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
peanut-butter-cup-explosion,Peanut Butter Cup Explosion,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">A fudgy chocolate cupcake stuffed with peanut butter mousse and crowned with peanut butter frosting and crumbled PB cups.</span></p>"                                    ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,filled                     ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/PeanutButterCupExplosion.png?v=1757449196                             ,1             ,              ,false    ,         ,               ,eggs; peanuts; milk; wheat                                            ,                                                                    ,chocolate                                  ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
salted-caramel-crunch      ,Salted Caramel Crunch      ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Brown sugar cake filled with gooey caramel, topped with salted caramel frosting and crunchy toffee bits.</span></p>"                                                     ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"filled, limited"          ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/SaltedCaramelCrunch.png?v=1757449010                                  ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,salted-caramel; caramel                    ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
lemon-raspberry-bliss      ,Lemon Raspberry Bliss      ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Bright lemon cake filled with tart raspberry compote and topped with lemon buttercream and a fresh raspberry.</span></p>"                                                ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"filled, gluten-free"      ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/LemonRaspberryBliss2.png?v=1757447704                                 ,1             ,              ,false    ,         ,               ,eggs; wheat; milk                                                     ,                                                                    ,lemon; raspberry                           ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
red-velvet-delight         ,Red Velvet Delight         ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Velvety red cocoa cake with classic cream cheese frosting and a dusting of red velvet crumbs—simple, elegant, and crave-worthy.</span></p>"                              ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"limited, nut-free"        ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/RedVelvetDelight2.png?v=1757447657                                    ,1             ,              ,false    ,         ,               ,wheat; milk; eggs                                                     ,                                                                    ,chocolate                                  ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
dark-chocolate-truffle     ,Dark Chocolate Truffle     ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Rich and decadent chocolate cake with a silky ganache center, finished with whipped chocolate frosting and a dark chocolate curl.</span></p>"                            ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"filled, nut-free"         ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/DarkChocolateTruffle.png?v=1757447603                                 ,1             ,              ,false    ,         ,               ,eggs; wheat; milk                                                     ,                                                                    ,chocolate                                  ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
classic-vanilla-bean       ,Classic Vanilla Bean       ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">A timeless favorite made with real vanilla bean and baked into a light, fluffy cake. Topped with smooth vanilla buttercream and a sprinkle of sugar crystals.</span></p>",cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"kid-favorite, nut-free"   ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/ClassicVanillaBean.png?v=1757446883                                   ,1             ,              ,false    ,         ,               ,eggs; wheat; milk                                                     ,nut-free                                                            ,vanilla                                    ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
                           
